Unnamed: 0,Time,Source,Destination,Protocol,Length,anomaly
495,43.87125,2404:6800:4002:810::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,1292,1
496,43.932599,2404:6800:4002:810::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,1292,1
497,43.932599,2404:6800:4002:810::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,361,1
498,43.933398,2404:6800:4002:810::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,692,-1
499,43.933398,2404:6800:4002:810::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,87,1
500,43.934107,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:810::200e,QUIC,1292,1
501,43.934378,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:810::200e,QUIC,93,1
502,43.93504,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:810::200e,QUIC,1288,-1
503,43.935158,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:810::200e,QUIC,1288,-1
504,43.93525,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:810::200e,QUIC,311,1
505,43.955869,2404:6800:4002:810::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,182,1
506,43.958371,2404:6800:4002:810::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,87,1
507,43.959497,2404:6800:4002:810::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,91,1
508,43.960063,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:810::200e,QUIC,93,1
509,43.960339,2404:6800:4002:810::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,87,1
510,44.100007,2404:6800:4002:810::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,624,-1
511,44.102385,2404:6800:4002:810::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,178,1
512,44.102604,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:810::200e,QUIC,97,1
513,44.148422,2404:6800:4002:810::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,86,1
514,44.48957,0e:60:a2:c9:ef:75,Intel_98:9e:73,ARP,42,-1
515,44.489597,Intel_98:9e:73,0e:60:a2:c9:ef:75,ARP,42,-1
516,45.510753,fe80::c60:a2ff:fec9:ef75,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,ICMPv6,86,1
517,45.510832,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,fe80::c60:a2ff:fec9:ef75,ICMPv6,86,1
518,47.000173,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81c::2005,TCP,75,1
519,47.036238,2404:6800:4002:81c::2005,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,86,1
520,50.618262,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:815::200a,UDP,91,1
521,50.667167,2404:6800:4002:815::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,UDP,87,1
522,51.219848,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.2,120,1
523,51.235913,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,116,1
524,51.236063,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,116,1
525,51.273437,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74,1
526,51.278334,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74,1
